"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0124","Pome fruits and stone fruits","","CPA_A0124","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01241","Apples","","CPA_A01241","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012410","Apples","","CPA_A012410","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01242","Other pome fruits and stone fruits","","CPA_A01242","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012421","Pears","","CPA_A012421","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012422","Quinces","","CPA_A012422","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012423","Apricots","","CPA_A012423","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012424","Cherries","","CPA_A012424","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012425","Peaches","","CPA_A012425","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012426","Nectarines","","CPA_A012426","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012427","Plums","","CPA_A012427","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012428","Sloes","","CPA_A012428","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012429","Other pome fruits and stone fruits n.e.c.","","CPA_A012429","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0125","Other tree and bush fruits and nuts","","CPA_A0125","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01251","Berries and the fruits of the genus vaccinium","","CPA_A01251","valid","2018-03-23"
